Object	Integral [abs]	?(F2) [ppm]	?(F1) [ppm]	
Integral 1	2204700.00	8.6061	0.8543	
Integral 2	27057000.00	8.6098	1.2109	
Integral 3	1893800.00	8.6049	1.5478	
Integral 4	1007900.00	8.6000	1.9630	
Integral 5	7916100.00	8.5939	2.2023	
Integral 6	3909400.00	8.6025	3.1986	
Integral 7	1369700.00	8.5939	3.6674	
Integral 8	1979400.00	8.5951	3.9653	
Integral 9	121190.00	8.6049	4.1021	
Integral 10	5666000.00	8.6012	4.2388	
Integral 11	11106000.00	8.0154	0.8543	
Integral 12	111170000.00	8.0044	1.2109	
Integral 13	11383000.00	7.9996	1.5772	
Integral 14	14537000.00	7.9873	1.9630	
Integral 15	23357000.00	8.0105	2.2462	
Integral 16	14953000.00	8.0154	3.2181	
Integral 17	4828800.00	7.9861	3.6674	
Integral 18	4698100.00	7.9886	3.9507	
Integral 19	3506000.00	7.9861	4.1509	
Integral 20	5860000.00	7.9959	4.3414	
Integral 21	6326900.00	7.8568	0.8690	
Integral 22	79524000.00	7.8568	1.2109	
Integral 23	9070200.00	7.8568	1.5527	
Integral 24	8115300.00	7.8799	1.9581	
Integral 25	22717000.00	7.8641	2.2316	
Integral 26	17009000.00	7.8604	3.2132	
Integral 27	5424200.00	7.8763	3.6674	
Integral 28	6089800.00	7.8702	3.9507	
Integral 29	3779100.00	7.8677	4.1509	
Integral 30	6310200.00	7.8653	4.3463	
Integral 31	3866400.00	7.7066	0.8739	
Integral 32	47926000.00	7.6993	1.2109	
Integral 33	6466600.00	7.6957	1.5674	
Integral 34	4953400.00	7.7164	1.9337	
Integral 35	18505000.00	7.7079	2.2316	
Integral 36	11133000.00	7.7018	3.2132	
Integral 37	6965500.00	7.7127	3.6625	
Integral 38	6437300.00	7.7262	3.9458	
Integral 39	2573100.00	7.7103	4.1412	
Integral 40	5227900.00	7.7018	4.3072	
Integral 41	3284400.00	7.3930	0.8739	
Integral 42	48185000.00	7.3710	1.2011	
Integral 43	6236700.00	7.3844	1.5625	
Integral 44	4471000.00	7.3722	1.9386	
Integral 45	16572000.00	7.3722	2.2316	
Integral 46	12910000.00	7.3613	3.2230	
Integral 47	6500600.00	7.3759	3.6674	
Integral 48	5482700.00	7.3625	3.9556	
Integral 49	1885700.00	7.3796	4.1412	
Integral 50	4368200.00	7.3735	4.3170	
Integral 51	0.00	6.8328	0.8641	
Integral 52	6009200.00	6.8242	1.2695	
Integral 53	621010.00	6.8413	1.5478	
Integral 54	1203400.00	6.8389	1.9288	
Integral 55	3581800.00	6.8255	2.1925	
Integral 56	30350.00	6.8523	3.2181	
Integral 57	2805700.00	6.8304	3.6625	
Integral 58	2923500.00	6.8474	3.9409	
Integral 59	0.00	6.8535	4.2046	
Integral 60	38563.00	6.8535	4.3267	
