Object	Integral [abs]	?(F2) [ppm]	?(F1) [ppm]	
Integral 1	2450300.00	8.6086	0.8641	
Integral 2	40698000.00	8.6086	1.2011	
Integral 3	4146700.00	8.6073	1.5283	
Integral 4	7860800.00	8.5976	1.8751	
Integral 5	10819000.00	8.6098	2.3048	
Integral 6	4312500.00	8.6000	3.2181	
Integral 7	938590.00	8.5829	3.6674	
Integral 8	1683400.00	8.5939	3.9165	
Integral 9	1408300.00	8.6049	4.1314	
Integral 10	3323000.00	8.6159	4.3560	
Integral 11	12173000.00	8.0313	0.8641	
Integral 12	118180000.00	8.0313	1.2011	
Integral 13	15090000.00	8.0142	1.5674	
Integral 14	18393000.00	7.9886	1.9727	
Integral 15	23122000.00	8.0386	2.2755	
Integral 16	15145000.00	8.0423	3.2132	
Integral 17	4351600.00	8.0008	3.6674	
Integral 18	5076700.00	8.0276	3.9214	
Integral 19	3612800.00	8.0374	4.1314	
Integral 20	8493100.00	8.0447	4.3463	
Integral 21	9036600.00	7.8507	0.8592	
Integral 22	99656000.00	7.8519	1.2060	
Integral 23	12795000.00	7.8507	1.5674	
Integral 24	11893000.00	7.8592	1.9630	
Integral 25	25315000.00	7.8531	2.2707	
Integral 26	18074000.00	7.8555	3.2132	
Integral 27	4252800.00	7.8568	3.6772	
Integral 28	5820600.00	7.8543	3.9263	
Integral 29	3828800.00	7.8531	4.1412	
Integral 30	8572900.00	7.8531	4.3512	
Integral 31	7148400.00	7.6371	0.8641	
Integral 32	70002000.00	7.6383	1.2109	
Integral 33	8658900.00	7.6444	1.5576	
Integral 34	10928000.00	7.6871	1.9679	
Integral 35	21935000.00	7.6590	2.2707	
Integral 36	15412000.00	7.6420	3.2132	
Integral 37	4750800.00	7.6481	3.6625	
Integral 38	6119500.00	7.6481	3.9214	
Integral 39	2594300.00	7.6957	4.1412	
Integral 40	8131500.00	7.6359	4.3463	
Integral 41	7089800.00	7.3307	0.8543	
Integral 42	63166000.00	7.3307	1.2060	
Integral 43	6944200.00	7.3454	1.5478	
Integral 44	10296000.00	7.3466	1.9532	
Integral 45	20975000.00	7.3259	2.2609	
Integral 46	17120000.00	7.3307	3.2181	
Integral 47	4980500.00	7.3735	3.6772	
Integral 48	4272500.00	7.3613	3.9311	
Integral 49	2369200.00	7.3576	4.1314	
Integral 50	5867300.00	7.3515	4.3365	
Integral 51	2916500.00	6.8084	0.8397	
Integral 52	16367000.00	6.8267	1.2060	
Integral 53	1208000.00	6.8218	1.5088	
Integral 54	8753600.00	6.7913	1.9044	
Integral 55	10405000.00	6.8340	2.2609	
Integral 56	6822600.00	6.8377	3.2230	
Integral 57	1670800.00	6.8255	3.6918	
Integral 58	1004500.00	6.8316	3.9263	
Integral 59	2685300.00	6.8157	4.1216	
Integral 60	4090500.00	6.7876	4.3609	
