Object	Integral [abs]	?(F2) [ppm]	?(F1) [ppm]	
Integral 1	1939300.00	8.6025	0.8690	
Integral 2	21236000.00	8.6147	1.2011	
Integral 3	2848500.00	8.5756	1.5430	
Integral 4	5121500.00	8.5756	1.8751	
Integral 5	3407700.00	8.5781	2.2609	
Integral 6	1919100.00	8.5903	3.1986	
Integral 7	484430.00	8.5829	3.6967	
Integral 8	1141500.00	8.5939	3.9556	
Integral 9	509000.00	8.5829	4.1363	
Integral 10	2173900.00	8.6073	4.3365	
Integral 11	12167000.00	8.0093	0.8690	
Integral 12	91675000.00	8.0130	1.2011	
Integral 13	12656000.00	8.0240	1.5723	
Integral 14	15174000.00	8.0093	1.9093	
Integral 15	11946000.00	8.0069	2.2658	
Integral 16	12823000.00	8.0215	3.2230	
Integral 17	4284000.00	8.0105	3.6967	
Integral 18	3075700.00	8.0032	3.9507	
Integral 19	1912000.00	8.0008	4.1363	
Integral 20	5985700.00	8.0118	4.3414	
Integral 21	8110200.00	7.8629	0.8690	
Integral 22	72530000.00	7.8580	1.2011	
Integral 23	10526000.00	7.8604	1.5723	
Integral 24	11516000.00	7.8629	1.8995	
Integral 25	12289000.00	7.8641	2.2560	
Integral 26	14550000.00	7.8616	3.2230	
Integral 27	4684000.00	7.8641	3.6918	
Integral 28	3158000.00	7.8665	3.9507	
Integral 29	2207500.00	7.8604	4.1363	
Integral 30	6586600.00	7.8568	4.3414	
Integral 31	5694100.00	7.7018	0.8788	
Integral 32	49548000.00	7.6529	1.2011	
Integral 33	7508300.00	7.6993	1.5674	
Integral 34	9038700.00	7.7091	1.8995	
Integral 35	9002300.00	7.7042	2.2707	
Integral 36	11113000.00	7.6774	3.2132	
Integral 37	4668300.00	7.6615	3.7016	
Integral 38	1666600.00	7.7237	3.9605	
Integral 39	963160.00	7.7079	4.1363	
Integral 40	3509300.00	7.6908	4.3414	
Integral 41	5865600.00	7.3527	0.8690	
Integral 42	51565000.00	7.3649	1.2011	
Integral 43	8289400.00	7.3649	1.5576	
Integral 44	10345000.00	7.3600	1.9093	
Integral 45	9572600.00	7.3625	2.2707	
Integral 46	14830000.00	7.3393	3.1595	
Integral 47	5035100.00	7.3674	3.6821	
Integral 48	1460100.00	7.3722	3.9507	
Integral 49	962160.00	7.3686	4.1265	
Integral 50	3378100.00	7.3625	4.3267	
Integral 51	526980.00	6.8389	0.8983	
Integral 52	8196500.00	6.8340	1.1962	
Integral 53	2854700.00	6.8340	1.5283	
Integral 54	5604100.00	6.8255	1.9044	
Integral 55	3105300.00	6.8267	2.2511	
Integral 56	5660300.00	6.8487	3.2132	
Integral 57	1733600.00	6.8377	3.6821	
Integral 58	16536.00	6.8230	3.9556	
Integral 59	29206.00	6.8291	4.1412	
Integral 60	217430.00	6.8450	4.2828	
