Object	Integral [abs]	?(F2) [ppm]	?(F1) [ppm]	
Integral 1	14966000000.00	0.8635	0.8690	
Integral 2	68033000000.00	1.2211	1.2011	
Integral 3	3893000000.00	1.5213	1.4990	
Integral 4	7603000000.00	1.9619	1.9727	
Integral 5	5482100000.00	2.2512	2.2365	
Integral 6	23940000000.00	3.2166	3.2132	
Integral 7	4840800000.00	3.6681	3.6625	
Integral 8	2154500000.00	3.9476	3.9458	
Integral 9	1880100000.00	4.1490	4.1558	
Integral 10	6417100000.00	4.3284	4.3219	
